"","graph.type","degree","p","power","mu","fw","bw","size","graph.no","lambda_0","lambda_1","lambda_2"
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.25,0.0
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.25,0.0
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.25,0.0
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.25,0.1
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.25,0.1
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.25,0.1
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.25,0.5
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.25,0.5
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.25,0.5
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.25,1.0
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.25,1.0
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.25,1.0
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.5,0.0
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.5,0.0
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.5,0.0
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.5,0.1
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.5,0.1
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.5,0.1
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.5,0.5
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.5,0.5
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.5,0.5
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.5,1.0
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.5,1.0
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.5,1.0
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.75,0.0
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.75,0.0
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.75,0.0
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.75,0.1
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.75,0.1
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.75,0.1
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.75,0.5
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.75,0.5
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.75,0.5
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,0.75,1.0
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,0.75,1.0
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,0.75,1.0
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,1.0,0.0
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,1.0,0.0
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,1.0,0.0
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,1.0,0.1
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,1.0,0.1
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,1.0,0.1
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,1.0,0.5
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,1.0,0.5
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,1.0,0.5
"1","forest-fire",NA,NA,NA,NA,0.37,0.33,1000,8,-1.5,1.0,1.0
"2","sbm",NA,NA,NA,0.2,NA,NA,1000,5,-1.5,1.0,1.0
"3","small-world",5,0.05,NA,NA,NA,NA,1000,2,-1.5,1.0,1.0
